bin,doitt_id,created_date,last_edited_date,planimetrics_height
5048690,1286032,2018-08-08,2018-08-08,29.50349278
5164709,1280925,2017-05-17,2017-08-22,29.90423945
5159214,1276810,,2017-08-10,32.91082676
5159212,1276811,,2017-08-10,35.98789166
5159211,1276812,,2017-08-10,36.43473908
5169217,1276815,,2017-08-10,8.51095765
5169218,1276816,,2017-08-10,6.15660375
5169219,1276817,,2017-08-10,5.17815109
5084690,1294067,2021-03-02,2021-09-01,20.95200706
5169683,1281092,2017-05-31,2017-08-22,32.17183516
5160436,1281093,2017-05-31,2017-08-22,31.90073304
5164592,1273112,,2018-06-14,35.9846664
5164593,1273113,,2018-06-14,36.36427726
5169222,1276825,,2017-08-10,9.78177724
5164578,1276207,,2018-03-20,34.87265711
5169741,1276565,,2017-09-07,8.53086651
5164146,1272512,,2018-05-11,31.82371473
5166301,1272451,,2018-09-05,33.8988935
5159316,1272452,,2018-09-05,34.03742128
5166302,1272453,,2018-09-05,34.43078678
5158975,1272454,,2018-07-25,34.60588125
5158974,1272455,,2018-07-25,34.65682061
5164916,1272456,,2018-07-27,30.41600499
5074091,1272457,,2018-07-27,30.72343781
5164914,1272458,,2018-07-27,29.39535255
5164915,1272459,,2018-07-27,30.04010768
5166626,1272982,,2018-06-14,33.09547242
5166676,1273114,,2018-07-25,21.78164779
5068198,1285583,2018-07-09,2018-07-09,38.80205224
5164235,1285584,2018-07-09,2018-07-09,31.88586369
5169151,1285585,2018-07-09,2018-07-09,27.59432235
5159660,1285587,2018-07-09,2018-07-09,28.98328631
5159661,1285588,2018-07-09,2018-07-09,11.23152034
5166310,1286447,2018-08-28,2018-08-28,12.26853183
5171489,1285862,2018-07-27,2018-12-24,11.92840483
5171488,1285863,2018-07-27,2018-12-24,13.15211902
5171487,1285864,2018-07-27,2018-12-24,13.15372537
5171486,1285865,2018-07-27,2018-12-26,12.58933369
5170533,1287518,2018-10-30,2018-10-30,12.37448967
5171160,1287520,2018-10-30,2018-10-30,10.25073428
5170532,1287523,2018-10-30,2018-10-30,11.67657745
5171161,1287524,2018-10-30,2018-10-30,11.36321785
5171480,1286031,2018-08-08,2018-12-24,11.13149498
5140368,1283313,2017-12-15,2017-12-15,11.51894899
5170352,1283358,2017-12-18,2017-12-18,7.30329949
5171298,1285593,2018-07-09,2018-11-14,35.7798395
5164397,1285595,2018-07-09,2018-07-09,35.49440604
5080269,1285596,2018-07-09,2018-07-09,35.11708937
5164398,1285597,2018-07-09,2018-07-09,35.41243546
5164833,1285617,2018-07-09,2018-07-09,36.34965882
5164238,1285618,2018-07-09,2018-07-09,36.65908085
5041793,1285652,2018-07-11,2018-07-11,30.09973132
5165007,1285653,2018-07-11,2018-07-11,29.42918024
5148866,1282267,2017-09-15,2017-09-15,35.59247905
5148865,1282269,2017-09-15,2017-09-15,34.60186929
5148864,1282270,2017-09-15,2017-09-15,35.6051331
5148863,1282271,2017-09-15,2017-09-15,35.5445809
5148862,1282273,2017-09-15,2017-09-15,37.41250608
5148861,1282274,2017-09-15,2017-09-15,36.9469567
5168558,1281990,2017-08-21,2017-08-21,34.14388152
5166657,1281988,2017-08-21,2017-08-22,36.56119303
5169517,1281989,2017-08-21,2017-08-21,34.17474792
5165091,1282074,2017-08-31,2017-08-31,34.57093963
5022669,1285550,2018-07-06,2018-07-06,37.37246061
5090769,1285553,2018-07-06,2018-07-06,34.81523422
5170117,1282450,2017-09-28,2017-10-18,12.52
5171485,1283950,2018-02-22,2018-12-24,11.43112113
5171814,1288973,2019-04-03,2019-08-16,12.74936293
5171919,1291326,2019-11-22,2020-04-16,11.60788954
5166360,1280927,2017-05-17,2019-10-30,19.04977037
5169907,1281405,2017-06-29,2017-08-22,35.42050567
5073665,1285554,2018-07-06,2018-07-06,32.29006104
5164962,1285555,2018-07-06,2018-07-06,31.17282434
5164375,1285575,2018-07-09,2018-12-07,33.34725933
5164374,1285576,2018-07-09,2018-12-07,31.45812939
5164373,1285577,2018-07-09,2018-07-09,34.06568743
5165223,1284158,2018-03-20,2018-03-20,34.5736616
5164549,1284181,2018-03-20,2018-03-20,35.2705607
5082355,1285324,2018-06-28,2018-06-28,36.85325953
5165012,1283964,2018-02-22,2018-02-22,27.85408817
5165015,1283965,2018-02-22,2018-02-22,27.25927965
5165013,1283966,2018-02-22,2018-02-22,26.77839106
5165014,1283967,2018-02-22,2018-02-22,27.20279301
5170654,1284333,2018-04-13,2024-02-28,34.81785696
5167654,1284353,2018-04-17,2018-04-17,31.84376181
5167655,1284355,2018-04-17,2018-04-17,31.61916245
5167656,1284356,2018-04-17,2018-04-17,32.25988811
5167657,1284357,2018-04-17,2018-04-17,32.08373323
5167658,1284358,2018-04-17,2018-04-17,32.18746511
5167659,1284359,2018-04-17,2018-04-17,31.85585508
5167636,1284361,2018-04-17,2018-04-17,28.65736803
5167637,1284362,2018-04-17,2018-04-17,29.71345752
5164867,1284426,2018-04-23,2018-07-03,20.28822895
5159010,1281955,2017-08-15,2018-12-07,34.34289599
5159011,1281956,2017-08-15,2018-12-07,34.44665141
5159012,1281957,2017-08-15,2018-12-07,33.85503062
5159013,1281958,2017-08-15,2018-12-07,34.08376097
5159014,1281959,2017-08-15,2018-12-07,32.10161101
5159015,1281960,2017-08-15,2018-12-07,32.16943658
5159016,1281961,2017-08-15,2018-12-07,31.87424727
5170109,1281968,2017-08-17,2017-08-17,34.50365939
5165072,1281969,2017-08-17,2017-08-17,33.66525284
5148705,1281637,2017-07-19,2017-08-22,35.5052347
5148704,1281638,2017-07-19,2017-08-22,35.99958684
5023333,1285112,2018-06-14,2018-06-14,39.95691141
5159539,1285113,2018-06-14,2018-06-14,38.89078269
5075150,1285114,2018-06-14,2018-06-14,31.48453691
5164870,1285115,2018-06-14,2018-06-14,30.83925675
5064681,1285117,2018-06-14,2018-06-14,30.51254292
5164550,1285118,2018-06-14,2018-06-14,31.17535314
5165149,1291168,2019-11-08,2020-12-30,26.19337376
5164396,1285123,2018-06-14,2018-06-14,36.10968557
5164395,1285124,2018-06-14,2018-06-14,34.19634081
5087217,1285127,2018-06-14,2018-06-14,36.15471786
5067470,1285128,2018-06-14,2018-06-14,31.50501842
5161230,1285179,2018-06-19,2018-06-19,35.52041719
5161229,1285180,2018-06-19,2018-06-19,35.59660784
5148703,1281639,2017-07-19,2017-08-22,35.6113587
5148779,1281646,2017-07-20,2017-08-22,36.27947284
5148780,1281645,2017-07-20,2021-02-23,36.84919068
5164363,1273111,,2021-02-23,32.23507875
5075123,1285983,2018-08-06,2021-02-23,32.22035269
5148717,1281624,2017-07-19,2021-02-23,37.18220073
5164868,1281506,2017-07-10,2018-07-03,20.23011438
5164797,1281509,2017-07-11,2017-08-22,25.846317
5170004,1281512,2017-07-11,2017-08-22,21.32234689
5158282,1281520,2017-07-12,2017-08-22,34.23487862
5169982,1281521,2017-07-12,2017-08-22,31.86415042
5148702,1281577,2017-07-19,2017-08-22,34.44853977
5148701,1281579,2017-07-19,2017-08-22,36.03460428
5148700,1281580,2017-07-19,2017-08-22,35.23289794
5148699,1281584,2017-07-19,2017-08-22,35.98015579
5148697,1281585,2017-07-19,2017-08-22,36.47276686
5148696,1281587,2017-07-19,2017-08-22,34.89306611
5148695,1281592,2017-07-19,2018-12-07,36.29458225
5148694,1281593,2017-07-19,2017-08-22,36.46107647
5148718,1281622,2017-07-19,2018-12-07,36.54290335
5148716,1281626,2017-07-19,2018-12-07,35.15014005
5148713,1281629,2017-07-19,2017-08-22,34.01900522
5148712,1281630,2017-07-19,2017-08-22,34.28925178
5148711,1281631,2017-07-19,2017-08-22,34.73521623
5148710,1281632,2017-07-19,2017-08-22,37.23245418
5148709,1281633,2017-07-19,2017-08-22,37.39706384
5148708,1281634,2017-07-19,2017-08-22,35.48767802
5148715,1281627,2017-07-19,2017-08-22,35.93445043
5148714,1281628,2017-07-19,2017-08-22,32.70306324
5148707,1281635,2017-07-19,2017-08-22,36.37560064
5148706,1281636,2017-07-19,2017-08-22,35.30044261
5164852,1284827,2018-05-21,2018-05-21,31.0712468
5164851,1284828,2018-05-21,2018-05-21,30.54934952
5166152,1281391,2017-06-28,2017-08-22,35.03893791
5054282,1286890,2018-09-26,2019-03-15,31.37971749
5160995,1272681,,2018-08-03,33.63013214
5166570,1272682,,2018-08-03,34.79936009
5166420,1272684,,2018-07-24,33.01665005
5164136,1272689,,2018-07-25,28.4200177
5166447,1272690,,2018-07-25,29.06494598
5159206,1272691,,2018-07-17,34.9951414
5159207,1272692,,2018-07-17,35.21353848
5171941,1291173,2019-11-08,2020-05-13,35.66256961
5166424,1272683,,2019-03-06,26.20611029
5171660,1285591,2018-07-09,2019-03-18,35.94724648
5164544,1288244,2019-01-17,2019-03-22,32.07215025
5166313,1291180,2019-11-11,2019-12-05,32.82870075
5157072,1289057,2019-04-09,2019-08-16,11.98057429
5157073,1289061,2019-04-09,2019-08-16,11.00642006
5050220,1288952,2019-04-01,2019-08-16,28.56867414
5077690,1292420,2020-04-16,2020-04-16,30.07
5165321,1288296,2019-01-28,2019-08-16,29.2312355
5165320,1288299,2019-01-28,2023-07-06,29.43192639
5169045,1288696,2019-03-14,2019-08-16,38.16014943
5171982,1285116,2018-06-14,2021-06-25,27.74569645
5037186,1293855,2021-01-26,2022-07-14,41.10648551
5141150,905051,,2018-07-19,26.21488871
5171360,1287804,2018-11-26,2019-01-22,32.34877311
5171291,1287741,2018-11-23,2019-01-22,42.42754521
5171303,1287748,2018-11-23,2019-01-22,35.96315948
5126605,1285694,2018-07-13,2019-01-24,35.88
5126607,1285695,2018-07-13,2019-01-24,35.89
5170536,1273290,,2019-10-24,39.3936301
5053472,1290982,2019-10-24,2019-12-05,22.61855109
5165200,1290858,2019-10-15,2019-12-05,35.92065759
5105346,1290944,2019-10-21,2019-12-05,31.8673865
5171923,1291946,2020-01-29,2020-01-29,20.00207613
5172051,1293365,2020-11-05,2020-11-05,30.38426969
5081528,1293109,2020-09-18,2020-09-18,32.87116183
5171096,1293130,2020-09-22,2020-09-22,33.44228647
5171276,1293303,2020-10-29,2020-10-29,34.1534613
5087752,1285948,2018-08-02,2018-08-02,35.44407873
5158973,1281505,2017-07-10,2017-08-22,12.65136518
5166659,1272983,,2018-06-14,28.99056595
5166421,1272698,,2018-06-13,32.77388685
5164798,1281510,2017-07-11,2018-10-03,20.69827672
5170044,1283759,2018-02-12,2019-10-23,35.97284446
5169015,1283760,2018-02-12,2019-10-23,37.33932902
5169016,1283761,2018-02-12,2019-10-23,37.09557709
5164956,1284540,2018-05-02,2018-05-02,31.90515332
5169345,1284541,2018-05-02,2018-05-02,32.00549438
5169533,1284542,2018-05-02,2018-05-02,33.23438977
5169346,1284543,2018-05-02,2018-05-02,33.51665973
5169532,1284544,2018-05-02,2018-05-02,33.55274982
5169530,1284545,2018-05-02,2018-05-02,32.92172178
5073197,1286562,2018-09-06,2018-09-06,19.3419106
5171984,1283949,2018-02-22,2021-06-25,37.71825189
5054885,1288910,2019-03-29,2019-08-16,34.90891037
5163219,1281091,2017-05-31,2017-08-22,35.96371651
5170115,1288490,2019-02-25,2019-08-16,30.67768278
5166789,1286433,2018-08-28,2018-12-10,26.83674939
5169361,1282220,2017-09-12,2017-09-12,28.30388921
