BIN,height_roof,update,delta
3425725,0,36,36
4004428,0,36,36
4140108,0,36,36
4294054,0,36,36
4449783,0,36,36
4586827,0,36,36
4587328,0,36,36
4596541,0,36,36
4596542,0,36,36
4596561,0,36,36
4596564,0,36,36
4607407,0,36,36
4607463,0,36,36
4617749,0,36,36
4617750,0,36,36
4617789,0,36,36
4619543,0,36,36
5080269,0,36,36
5087752,0,36,36
5126605,0,36,36
5126607,0,36,36
5148699,0,36,36
5148700,0,36,36
5148703,0,36,36
5148704,0,36,36
5148705,0,36,36
5148706,0,36,36
5148708,0,36,36
5148715,0,36,36
5148716,0,36,36
5148863,0,36,36
5148864,0,36,36
5148866,0,36,36
5157665,0,36,36
5158810,0,36,36
5159081,0,36,36
5159082,0,36,36
5159083,0,36,36
5159142,0,36,36
5159207,0,36,36
5159212,0,36,36
5159562,0,36,36
5161229,0,36,36
5161230,0,36,36
5163219,0,36,36
5164372,0,36,36
5164397,0,36,36
5164398,0,36,36
5164549,0,36,36
5164592,0,36,36
5164887,0,36,36
5164889,0,36,36
5164890,0,36,36
5165200,0,36,36
5165203,0,36,36
5166152,0,36,36
5166485,0,36,36
5166850,0,36,36
5166855,0,36,36
5168565,0,36,36
5169907,0,36,36
5170044,0,36,36
5171298,0,36,36
5171303,0,36,36
5171660,0,36,36
5171941,0,36,36
5171969,0,36,36
1090872,0,35,35
1795007,0,35,35
2056709,0,35,35
2111080,0,35,35
3009357,0,35,35
3013481,0,35,35
3094551,0,35,35
3398579,0,35,35
3404864,0,35,35
3412952,0,35,35
3413707,0,35,35
3421441,0,35,35
3421445,0,35,35
3425497,0,35,35
3425835,0,35,35
3426996,0,35,35
4050588,0,35,35
4079457,0,35,35
4173105,0,35,35
4215755,0,35,35
4311455,0,35,35
4464727,0,35,35
4465484,0,35,35
4541355,0,35,35
4546447,0,35,35
4595616,0,35,35
4596256,0,35,35
4607240,0,35,35
4607253,0,35,35
4607257,0,35,35
4607351,0,35,35
4607432,0,35,35
4616817,0,35,35
4617610,0,35,35
4617612,0,35,35
4617613,0,35,35
5054885,0,35,35
5090769,0,35,35
5122240,0,35,35
5122242,0,35,35
5148696,0,35,35
5148702,0,35,35
5148711,0,35,35
5148712,0,35,35
5148713,0,35,35
5148865,0,35,35
5157663,0,35,35
5158282,0,35,35
5158974,0,35,35
5158975,0,35,35
5158988,0,35,35
5159010,0,35,35
5159011,0,35,35
5159013,0,35,35
5159042,0,35,35
5159043,0,35,35
5159084,0,35,35
5159085,0,35,35
5159098,0,35,35
5159099,0,35,35
5159136,0,35,35
5159137,0,35,35
5159140,0,35,35
