bin,doitt_id,created_date,last_edited_date,height_roof,planimetrics_height,height_difference
5172090,1293826,2021-01-22,2022-06-03,12.00000000,9.83737638,2.16262362
5171632,1293840,2021-01-25,2021-01-25,34.00000000,35.68352341,1.68352341
5171494,1293882,2021-01-29,2021-01-29,32.00000000,31.38275605,0.61724395
5174517,1293938,2021-02-03,2021-02-03,35.00000000,34.87306489,0.12693511
5046019,1293937,2021-02-03,2021-02-03,23.00000000,30.56207486,7.56207486
5174414,1293957,2021-02-04,2021-02-04,35.00000000,33.17709108,1.82290892
5170426,1293949,2021-02-03,2021-02-04,25.00000000,28.23236245,3.23236245
5065950,1294040,2021-02-23,2023-08-02,34.00000000,28.67027310,5.32972690
5164809,1294171,2021-03-23,2021-03-23,26.00000000,27.14182091,1.14182091
5171428,1292069,2020-02-12,2021-04-14,31.00000000,29.91047181,1.08952819
5170610,1294273,2021-04-16,2021-04-16,30.00000000,31.87083624,1.87083624
5107391,1294318,2021-04-19,2021-04-19,26.61000000,31.09688119,4.48688119
5107393,1294294,2021-04-17,2021-04-17,26.86000000,26.89370000,0.03370000
5167220,1294302,2021-04-17,2021-04-17,35.00000000,36.59969107,1.59969107
5169120,1294298,2021-04-17,2021-04-17,39.00000000,39.30359553,0.30359553
5011201,1294356,2021-04-27,2021-04-27,34.00000000,34.46100869,0.46100869
5174917,1294441,2021-05-10,2021-05-10,32.00000000,32.58959716,0.58959716
5174419,1294801,2021-06-25,2021-06-29,32.00000000,31.49875035,0.50124965
5174632,1294807,2021-06-27,2023-01-19,28.00000000,29.43053032,1.43053032
5170248,1294844,2021-06-30,2021-06-30,25.00000000,37.12183263,12.12183263
5170252,1294843,2021-06-30,2021-06-30,32.00000000,33.72380405,1.72380405
5061793,1294847,2021-06-30,2021-06-30,30.00000000,34.74335457,4.74335457
5174381,1294856,2021-07-01,2021-07-01,12.00000000,10.19634220,1.80365780
5167083,1284153,2018-03-20,2018-03-20,32.00000000,31.26530739,0.73469261
5167082,1284155,2018-03-20,2018-03-20,32.00000000,31.05602382,0.94397618
5167080,1284156,2018-03-20,2018-03-20,32.00000000,30.53527717,1.46472283
5157985,1284157,2018-03-20,2018-03-20,32.00000000,30.57287153,1.42712847
5170134,1284137,2018-03-20,2018-03-20,26.00000000,20.16308328,5.83691672
5168307,1282926,2017-11-21,2017-11-21,29.00000000,32.70352128,3.70352128
5142059,1282934,2017-11-21,2017-11-21,33.00000000,33.27981687,0.27981687
5142060,1282935,2017-11-21,2017-11-21,33.00000000,33.27981687,0.27981687
5165078,1285347,2018-06-28,2018-06-28,33.00000000,36.51039588,3.51039588
5164510,1285353,2018-06-28,2018-06-28,31.00000000,32.48756586,1.48756586
5164491,1284404,2018-04-23,2018-04-23,33.00000000,37.51682742,4.51682742
5166346,1285195,2018-06-20,2018-06-20,35.00000000,28.02207065,6.97792935
5169167,1285352,2018-06-28,2018-06-28,31.00000000,32.02415408,1.02415408
5170050,1281775,2017-07-27,2017-08-22,30.00000000,32.33534458,2.33534458
5166725,1281787,2017-07-28,2017-08-22,27.00000000,31.79985378,4.79985378
5166726,1281792,2017-07-28,2017-08-17,10.00000000,14.73968221,4.73968221
5164938,1285093,2018-06-11,2018-06-11,33.00000000,38.56637606,5.56637606
5170038,1281704,2017-07-21,2017-08-17,12.00000000,15.23674967,3.23674967
