bin,oti_height_roof,planimetrics_height_roof,planimetrics_spot_height_calc,decision
3116785,26,59,62,
3420448,12,46,48,
3136911,34,66,64,
3056374,22,54,54,
4569134,12,46,17,
4611564,11,44,14,
4006367,14,48,48,
3152412,27,59,55,
4311413,11,44,44,
3136233,26,59,62,
3397404,42,75,75,
3054940,37,70,66,
3014473,25,58,60,
3400453,70,37,40,
4596553,5,38,40,
4280470,18,50,29,
3331875,50,84,82,
3425307,52,19,18,
3062852,24,58,60,
3426628,44,12,13,
5159799,45,12,4,
3009551,16,50,49,
3335661,42,74,77,
1090436,119,153,155,
1090379,203,237,228,
3116845,24,58,58,
3036341,25,58,61,
3424485,48,14,16,
5151695,58,26,26,
5170475,14,47,50,
3071406,15,48,49,
3143434,26,59,58,
4593579,10,43,18,
4000364,23,56,55,
4112155,20,53,53,
4609754,11,44,42,
3426547,17,50,50,
3425961,153,187,165,
3083572,23,56,59,
4508847,12,45,21,
4010601,26,59,57,
1090678,60,94,85,
3023592,27,61,60,
3205923,26,60,61,
4282942,22,55,27,
3140584,25,56,57,
4538555,13,45,29,
2001588,29,60,59,
1091671,637,606,609,
3140611,24,56,56,
3039625,46,78,79,
3338204,32,64,69,
3108554,28,60,60,
2127841,15,46,45,
4009030,29,61,63,
4116395,23,55,52,
3069573,41,73,69,
4513680,9,41,17,
3069342,27,59,56,
3426640,70,39,42,
1090803,265,297,295,
4439623,45,77,80,
1013986,37,68,67,
3140610,24,57,58,
4283838,26,58,28,
1090512,479,448,447,
4542654,85,53,69,
3425166,46,79,81,
3032636,35,67,70,
3076864,26,58,59,
4288267,19,51,33,
4615474,9,41,13,
3055241,26,58,59,
3019570,16,48,48,
3051211,27,60,62,
3056359,25,57,55,
3330858,12,44,44,
3065591,62,30,29,
3033119,26,58,58,
3000675,33,65,64,
3325867,22,54,56,
3072493,26,58,61,
3116776,26,58,60,
4282980,23,54,28,
4112156,19,50,49,
4280624,21,53,33,
4280770,24,56,33,
2129297,55,24,35,
4195371,12,44,45,
4115159,19,51,48,
4513918,10,42,20,
4542024,11,44,36,
4619357,72,104,96,
2129202,55,87,81,
3030859,30,61,63,
3070148,26,58,59,
4060983,15,47,45,
4596156,163,131,132,
3322370,13,44,44,
3002826,32,63,63,
3428715,364,395,396,
1060648,41,72,69,
3069497,17,48,51,
4287056,17,48,27,
4569327,9,40,14,
4280932,20,51,28,
4037077,22,53,25,
4280937,18,49,28,
3006577,28,59,55,
4042655,26,57,58,
3396880,32,64,61,
4435065,12,43,16,
4542032,93,125,125,
4287568,17,48,31,
3120556,36,67,68,
3043058,65,35,33,
3387565,48,17,19,
3140181,25,56,56,
3139887,26,57,57,
3082509,26,57,58,
3014070,30,61,62,
3140229,24,56,57,
3140274,26,57,58,
3329825,119,150,142,
4081137,25,56,53,
1060647,41,72,69,
3007333,23,55,55,
3414031,75,45,47,
4513676,13,44,19,
4004807,14,45,45,
1090635,162,193,182,
2023352,34,65,67,
3038353,33,64,70,
3129630,39,70,59,
3332279,25,56,56,
3049589,37,68,70,
4282880,23,54,30,
4610564,64,33,31,
3397052,34,66,66,
3138463,28,59,56,
4534092,44,76,78,
3422087,392,424,429,
3072195,21,52,50,
4082408,15,46,47,
1090832,900,869,862,
3062260,26,56,54,
4006942,32,63,66,
1090200,147,179,152,
2057805,27,59,59,
3031519,37,68,68,
3011860,19,51,49,
3029556,46,77,80,
3125881,31,61,64,
3044670,26,57,56,
3072699,25,55,51,
3139497,27,58,58,
4287092,18,49,29,
3073780,30,61,59,
3332121,17,48,48,
3140223,24,55,56,
3342327,24,55,55,
4116381,15,46,49,
4010639,26,57,52,
4112157,20,51,49,
4514003,13,45,21,
3425456,83,115,117,
2127430,42,73,51,
3135552,26,56,55,
4795033,62,32,50,
3328125,28,58,60,
3073991,27,58,58,
4007479,33,63,63,
4116369,26,56,59,
3139180,27,57,59,
4282946,22,52,27,
3143795,29,59,58,
3005722,36,67,68,
1054873,32,63,64,
3140544,25,55,59,
4593363,19,49,24,
2092092,42,72,71,
4037469,33,63,65,
3100923,28,58,59,
4283092,22,52,31,
4538351,19,50,45,
4508539,10,40,13,
1060740,18,48,48,
3135186,25,56,57,
3023671,32,62,61,
3137563,28,58,60,
3033146,25,56,58,
3423608,49,79,80,
3139179,27,57,58,
3071878,31,62,58,
3139948,25,56,59,
4026844,17,48,19,
2011743,25,55,56,
2011742,26,56,56,
4101069,10,41,39,
4115121,18,48,49,
1013789,41,71,65,
3061289,18,49,49,
4287052,21,51,31,
4116376,25,55,61,
1003795,155,186,186,
3014448,29,59,59,
3243433,10,40,42,
3044592,19,50,50,
2010360,41,11,8,
3426432,24,55,51,
3138353,14,45,46,
3061631,33,63,65,
4614485,12,42,16,
