bin,planimetrics_height,planimetrics_spot_height_calc,height_diff
3398448,52,51,1
3426017,64,63,1
3413434,50,52,3
3119822,29,28,1
3005772,59,59,1
3413750,36,35,1
3009357,35,31,5
3054673,47,47,1
3004557,49,48,1
3124035,90,92,3
3024096,44,45,1
3418333,59,55,4
3413602,44,45,1
3425544,32,32,1
3325606,22,24,2
3425540,72,71,2
3321438,65,65,1
3418255,73,73,1
3411556,59,57,2
3426481,46,46,1
3426473,16,17,2
3398304,28,28,1
3398307,27,30,3
3398309,27,30,3
3398250,28,29,1
3398318,28,29,2
3425593,21,21,1
3424960,14,12,3
3426833,134,136,3
3329438,620,623,3
3094551,35,34,2
3425816,15,16,2
3191879,42,37,6
3426839,71,73,2
3424490,43,45,3
3048064,43,43,1
3404999,45,48,3
3425887,86,86,1
3425997,73,75,3
3425072,59,56,4
3414016,56,58,2
3413945,52,53,1
3425608,47,47,1
3018499,55,52,3
3421586,36,36,1
3399245,29,29,1
3404488,27,29,3
3421662,33,33,1
3421638,68,69,1
3076359,46,46,1
3426483,12,14,3
3422234,45,49,4
3418256,48,50,3
3421390,65,58,8
3425146,54,56,2
3425148,81,82,1
3425283,22,25,3
3421409,124,126,3
3336224,44,44,1
3063664,77,72,6
3102447,20,21,2
3128635,39,40,2
3249143,31,33,2
3425945,11,11,1
3425832,22,24,2
3400446,13,14,2
3421678,46,45,2
3398556,36,34,2
3397203,86,87,2
3050683,54,54,1
3379794,19,19,1
3418440,29,33,4
3426307,19,21,2
3425755,44,45,1
3414019,63,66,3
3398298,28,29,1
3398301,28,29,1
3398249,28,29,1
3398269,27,29,2
3398320,28,29,2
3398324,27,29,2
3414272,58,60,3
3400391,36,37,1
3057245,84,85,1
3426758,11,14,4
3413941,72,74,2
3010007,98,98,1
3424168,70,71,2
3422385,76,76,1
3398374,59,52,8
3426800,49,48,1
3425353,44,45,1
3425092,77,77,1
3418147,83,82,2
3421743,48,46,2
3413772,83,85,2
3425725,36,37,2
3319652,27,28,2
3418155,51,51,1
3418364,26,30,4
3421445,35,34,1
3421444,34,34,1
3064031,46,45,1
3072176,48,47,2
3398129,43,43,1
3107014,34,35,1
3426478,46,47,2
3425282,22,25,3
3425284,19,22,3
3425099,62,65,4
3026512,55,54,1
3413740,38,37,1
3075151,61,57,5
3325256,29,31,2
3042667,17,18,2
3413749,38,35,3
3413686,42,43,2
3335831,15,15,1
3150668,36,43,7
3397262,127,127,1
3424969,14,15,2
3346449,39,40,1
3413929,161,162,1
3006835,52,53,2
3386797,14,16,3
3426513,75,74,1
3403522,44,47,3
3421878,75,77,3
3254425,39,40,2
3426320,19,21,2
3426249,11,12,1
3425835,35,36,1
3411555,59,57,2
3397186,75,76,1
3398248,28,29,1
3398260,27,28,1
3398265,27,28,2
3398271,28,29,1
3398312,29,29,1
3398328,28,29,2
3398331,28,29,2
3398275,29,29,1
3398279,29,29,1
3398280,29,29,1
3323805,60,60,1
4596390,41,46,6
4617667,27,28,1
4617328,28,30,3
4596386,41,46,6
4596343,42,45,4
4519661,14,15,1
4585500,24,26,2
4615237,19,1,19
4539161,64,64,1
4615246,19,17,2
4615254,16,-1,18
4614940,18,18,1
4614939,18,-1,20
4615611,15,1,14
4615605,16,0,16
4173105,35,36,1
4605348,12,16,4
4594868,41,36,6
4558802,28,30,2
4615141,30,31,1
4139905,28,30,3
4010163,43,43,1
4257181,33,37,4
4619541,30,31,2
4593335,31,37,7
4216878,15,18,3
4607803,26,27,2
4595489,34,36,3
4006077,42,42,1
4004411,103,100,3
4042512,67,69,2
4066258,31,32,2
4611190,41,30,12
4618323,34,35,2
4306328,15,16,2
4595624,27,29,3
4618215,51,46,6
4597000,27,27,1
4607883,37,29,9
4604525,14,21,7
4619538,14,16,3
4607352,23,24,1
4618733,42,42,1
4618736,41,42,1
4618483,32,29,4
4596262,29,26,4
4618485,16,16,1
4618793,32,33,1
4596565,49,52,3
4619543,36,37,1
4062889,16,18,3
4596265,30,32,3
4095654,31,32,2
4614610,59,61,3
4617195,47,48,1
4113552,134,136,2
4212276,92,91,1
4607451,32,32,1
4556446,16,-2,19
4620218,11,16,6
4619846,22,19,3
4047641,45,46,2
4619821,14,16,3
4615148,47,45,3
4618289,13,13,1
4593930,59,50,9
4105385,25,25,1
4257275,28,31,4
4617442,34,35,1
4617443,34,34,1
4538749,96,97,1
4596927,39,40,2
4616961,39,39,1
4616960,40,40,1
4179291,33,34,2
4570348,19,20,2
4619092,12,14,3
4615090,82,81,2
4607862,31,31,1
4543419,24,26,2
